Pagina,Visualizzazioni di pagina,Visualizzazioni di pagina uniche,Tempo medio sulla pagina,Accessi,Frequenza di rimbalzo,% uscita
/en/2017/03/my-extensions-firefox-and-thunderbird-2017/,8,7,00:00:45,5,"80,00%","62,50%"
/en/speaker/,8,8,00:00:43,3,"100,00%","75,00%"
/posts/page/2/,8,7,00:00:23,0,"0,00%","25,00%"
/2014/01/i-was-there-firefox-os-and-its-launch-in-italy/,7,7,00:00:56,4,"50,00%","57,14%"
/2015/09/optimize-your-image-for-a-better-web/,7,7,00:03:33,7,"85,71%","85,71%"
/2016/05/oscal-2016-cero/,7,6,00:03:35,4,"75,00%","71,43%"
/2017/01/i-do-open-2017-edition/,7,7,00:00:17,5,"80,00%","85,71%"
/2017/09/end-summer-camp-2017-was-there/,7,7,00:00:00,7,"100,00%","100,00%"
/en/?lang=en,7,5,00:07:55,0,"0,00%","57,14%"
/en/2014/08/javascript-gamepad-api-it-does-exist/,7,7,00:00:00,7,"57,14%","100,00%"
/en/2014/09/qasana-simple-interface-for-asana/,7,7,00:00:27,7,"85,71%","85,71%"
/en/2016/02/github-license/,7,7,00:00:09,6,"100,00%","85,71%"
/en/2016/06/confsl-2016-was-there/,7,6,00:01:34,2,"50,00%","57,14%"
/io-cero/,7,7,00:01:42,5,"100,00%","71,43%"
/open-source-it/,7,5,00:00:08,2,"100,00%","57,14%"
/participation/,7,7,00:00:13,4,"100,00%","85,71%"
/2012/02/rinominare-gli-mp3-tramite-id3tag-con-eyed3/,6,6,00:00:00,6,"83,33%","100,00%"
/2012/09/force-overwrite-package-on-apt/,6,6,00:00:00,6,"100,00%","100,00%"
/2013/09/wordpress-installer-scriptino-che-ti-semplifica-la-vita/,6,6,00:00:00,6,"83,33%","100,00%"
/2014/04/codemotion-2014-cero/,6,4,00:05:53,4,"75,00%","66,67%"
/2015/12/open-source-day-2015-ad-udine-io-cero/,6,6,00:04:44,5,"60,00%","83,33%"
/2016/09/mozilla-tech-speaker-meetup-european-gathering-in-berlin/,6,6,00:02:53,6,"83,33%","83,33%"
/2016/11/websummit-lisbona-2016-i-was-there/,6,6,00:00:00,6,"100,00%","100,00%"
/2018/03/merge-it-2018-i-was-there/,6,6,00:02:10,3,"66,67%","83,33%"
/2018/05/my-free-software-and-open-source-activities-of-may-2018/,6,3,00:06:42,0,"0,00%","33,33%"
/en/2014/04/firefox-os-to-pordenone-fair-2014/,6,6,00:00:00,6,"100,00%","100,00%"
/en/2015/06/wordpress-plugin-boilerplate-powered-1-1-2-and-yeoman-generator-0-1-9/,6,4,00:07:31,4,"50,00%","66,67%"
/en/2016/03/edit-debian-packages-depends-easily/,6,6,00:00:08,4,"75,00%","50,00%"
/en/2016/05/oscal-2016-was-there/,6,6,00:00:39,6,"66,67%","66,67%"
/pyqt/,6,6,00:00:54,4,"50,00%","33,33%"
/2012/05/chi-trova-un-link-trova-un-tesoro-css-e-html-seconda-parte/,5,4,00:00:19,4,"75,00%","80,00%"
/2012/10/linux-e-i-videogiochi/,5,5,00:00:00,5,"100,00%","100,00%"
/2013/10/firefoxos-utenti-sviluppatori-roma2lug-linuxday-2013/,5,4,00:01:29,4,"75,00%","60,00%"
/2014/01/perche-conoscere-piu-linguaggi-di-programmazione/,5,4,00:01:15,4,"75,00%","80,00%"
/2014/06/new-setup-for-my-computer/,5,5,00:00:00,5,"100,00%","100,00%"
/2014/09/qasana-simple-interface-for-asana/,5,5,00:00:00,5,"100,00%","100,00%"
/2014/12/firefox-html-quando-il-browser-e-il-core/,5,5,00:00:00,4,"100,00%","100,00%"
/2016/06/mozilla-all-hands-london-cero/,5,5,00:00:00,4,"100,00%","100,00%"
/2017/04/wordcamp-torino-2017-free-software-activity-day-was-there/,5,4,00:00:09,3,"66,67%","40,00%"
/2017/05/debian-ubuntu-community-conference-2017-cero/,5,5,00:03:57,4,"100,00%","80,00%"
/2018/04/upload-stuff-on-push-when-branch-is-not-master/,5,5,00:01:44,3,"100,00%","80,00%"
/development/,5,4,00:00:06,3,"66,67%","40,00%"
/en/2014/07/electrolysis-or-firefox-multiprocess/,5,5,00:00:00,5,"100,00%","100,00%"
/en/2014/08/ogv-to-gif-with-bash/,5,5,00:00:00,5,"80,00%","100,00%"
/en/2015/09/optimize-your-image-for-a-better-web/,5,5,00:00:00,5,"100,00%","100,00%"
/en/2015/10/linux-day-2015-benevento-i-was-there/,5,5,00:00:49,3,"100,00%","80,00%"
/en/2015/12/what-open-source-software-using-mozilla/,5,4,00:02:25,4,"75,00%","80,00%"
/en/2016/01/wordpress-plugin-boilerplate-powered-1-1-7/,5,5,00:05:06,4,"75,00%","80,00%"
/en/2016/05/take-back-the-web-campaign-italy-3-week/,5,5,00:00:37,1,"100,00%","60,00%"
/en/2016/06/wikitolearn-participation-sprint-2016-was-there/,5,5,00:00:36,4,"75,00%","80,00%"
/en/2016/10/wordcamp-milano-2016-linux-day-roma-2016-was-there/,5,4,00:02:07,3,"33,33%","40,00%"
/guest-post/page/2/,5,4,00:00:10,0,"0,00%","20,00%"
/home,5,5,00:00:00,5,"100,00%","100,00%"
/linux-it/,5,4,00:00:11,2,"0,00%","40,00%"
/mozilla-it/,5,4,00:00:18,1,"100,00%","20,00%"
/2013/04/jquery-click-support-on-mobile/,4,3,00:00:26,3,"33,33%","50,00%"
/2014/03/introduzione-pyqt-2-ed-campagna-proposte/,4,3,00:01:00,1,"0,00%","25,00%"
/2016/04/wordcamp-torino-2016-cero/,4,4,00:01:09,2,"100,00%","50,00%"
/2016/05/firefox-hackathon-zurich-mozillach-cero/,4,4,00:00:00,4,"75,00%","100,00%"
/2016/06/confsl-2016-was-there/,4,3,00:02:37,3,"66,67%","75,00%"
/2016/06/what-want-to-do-at-mozilla-london-all-hands/,4,4,00:00:23,4,"75,00%","75,00%"
/2016/10/wordcamp-milano-2016-linux-day-roma-2016-was-there/,4,4,00:00:13,4,"75,00%","75,00%"
/2016/11/add-license-open-source-software-script/,4,3,00:18:02,3,"33,33%","75,00%"
/2016/11/websummit-lisbona-2016-io-cero/,4,4,00:00:00,3,"100,00%","100,00%"
/2017/02/doc-to-recruit-and-motivate-volunteers-1-1/,4,4,00:00:33,3,"33,33%","75,00%"
/2017/02/fosdem-2017-was-there/,4,4,00:00:00,4,"100,00%","100,00%"
/2017/02/new-website-no-big-changes/,4,3,00:00:28,2,"50,00%","50,00%"
/2017/06/wordcamp-europe-2017-cero/,4,4,00:02:11,1,"100,00%","50,00%"
/2018/05/how-to-aggregate-github-gitlab-and-bitbucket-tickets/,4,4,00:00:59,3,"66,67%","75,00%"
/2018/05/the-virtuosity-of-reporting-in-the-open-source-world/,4,4,00:30:25,3,"100,00%","75,00%"
/2018/05/wordcamp-bologna-wp-terni-wp-roma-meetup/,4,3,00:05:05,2,"50,00%","75,00%"
/articoli/page/5/,4,4,00:00:12,0,"0,00%","0,00%"
/category/open-source-it/,4,3,00:00:24,1,"100,00%","25,00%"
/category/open-source/,4,3,00:00:36,1,"100,00%","50,00%"
/ebook/,4,4,00:00:13,0,"0,00%","0,00%"
/en/2015/10/firefox-osarduino-workshop-fabriano-i-was-there/,4,4,00:00:00,4,"100,00%","100,00%"
/en/2015/10/sibbell-githubs-repo-release-notification-easily/,4,4,00:00:00,3,"66,67%","100,00%"
/en/2015/11/mozilla-festival-2015-i-was-there/,4,3,00:04:50,3,"66,67%","75,00%"
/en/2016/01/datask-1-1-0-badgeos-and-api-rest-v2/,4,4,00:01:13,4,"50,00%","75,00%"
/en/2016/11/to-remove-post-fields-or-options-wordpress-with-sql-query/,4,4,00:06:44,0,"0,00%","25,00%"
/en/2017/01/get-stats-of-your-browser-extension/,4,4,00:00:00,4,"75,00%","100,00%"
/eng/guest-post,4,4,00:00:08,4,"50,00%","50,00%"
/feed,4,3,00:00:18,1,"0,00%","25,00%"
/javascript-it/,4,1,00:00:05,0,"0,00%","0,00%"
/wordpress-it/,4,4,00:00:17,2,"100,00%","75,00%"
/2010/03/proj-management-1-1-rc1rc2rc3-e-altro/,3,3,00:00:00,3,"100,00%","100,00%"
/2012/02/css3lessscsshaml-syntax-per-kate/,3,3,00:00:26,1,"100,00%","66,67%"
/2012/08/kde-scantoemail/,3,3,00:00:09,1,"100,00%","33,33%"
/2014/01/firefox-os-app-days-rome-i-was-there/,3,3,00:01:44,2,"50,00%","33,33%"
/2014/01/io-cero-firefox-os-ed-il-suo-lancio-italia/,3,3,00:00:00,2,"100,00%","100,00%"
/2014/04/firefox-os-to-pordenone-fair-2014/,3,3,00:00:00,3,"100,00%","100,00%"
/2014/05/adrotate-extra-settings-per-wordpress/,3,2,00:28:06,2,"0,00%","66,67%"
/2014/06/parliamo-kde-miglior-de/,3,3,00:01:19,2,"100,00%","66,67%"
/2014/07/electrolysis-or-firefox-multiprocess/,3,3,00:00:00,3,"100,00%","100,00%"
/2014/09/bash-shellshock-quando-bug-compromette-mondo/,3,3,00:00:00,2,"100,00%","100,00%"
/2014/12/levoluzione-del-mio-scrivere/,3,3,00:00:05,3,"66,67%","66,67%"
/2016/01/wordpress-plugin-boilerplate-powered-1-1-7/,3,2,00:01:52,2,"0,00%","66,67%"
/2016/05/take-back-the-web-campaign-italia-1-settimana/,3,2,00:00:10,1,"0,00%","0,00%"
/2016/05/take-back-the-web-campaign-italia-3-settimana/,3,2,00:00:24,1,"0,00%","33,33%"
/2016/11/mozilla-festival-2016-io-cero/,3,2,00:00:07,2,"50,00%","66,67%"
/2017/03/wpbp-2-0-5,3,3,00:00:00,3,"100,00%","100,00%"
/2017/07/4-useful-composer-plugins-for-your-workflow,3,3,00:00:00,3,"100,00%","100,00%"
/2017/10/linux-day-2017-rome-was-there/,3,3,00:00:14,2,"50,00%","66,67%"
/articoli/page/6/,3,3,00:00:13,0,"0,00%","0,00%"
/category/development/,3,3,00:00:08,1,"100,00%","33,33%"
/category/mozilla/,3,2,00:00:22,1,"100,00%","33,33%"
/ebook-it/,3,1,00:00:15,0,"0,00%","0,00%"
/en/2012/09/force-overwrite-package-on-apt/,3,3,00:00:00,3,"100,00%","100,00%"
/en/2013/02/plessc-gui-for-less-compiler/,3,2,00:01:49,2,"50,00%","66,67%"
/en/2014/05/firefox-drm-and-w3c-eme-complicated-technical-matter/,3,2,00:00:05,2,"50,00%","66,67%"
/en/2014/06/new-setup-for-my-computer/,3,3,00:00:00,3,"100,00%","100,00%"
/en/2015/03/pointerplus-or-wordpress-pointer-simplified/,3,3,00:00:00,3,"100,00%","100,00%"
/en/2016/02/promote-mdn-1-7-1/,3,2,00:00:22,2,"50,00%","66,67%"
/en/2016/02/qasana-2-0/,3,3,00:00:54,2,"100,00%","66,67%"
/en/2016/05/firefox-hackathon-zurich-mozillach-was-there/,3,3,00:00:00,3,"100,00%","100,00%"
/en/2016/05/take-back-the-web-campaign-italy-2-week/,3,3,00:00:00,3,"100,00%","100,00%"
/en/2016/06/what-want-to-do-at-mozilla-london-all-hands/,3,3,00:00:00,3,"100,00%","100,00%"
/en/2016/09/clsxitaly-roma-2016-was-there/,3,3,00:00:36,2,"66,67%","66,67%"
/en/2017/01/facebook-photo-info-or-to-see-the-photo-data,3,1,00:01:18,1,"0,00%","33,33%"
/firefox-os/,3,2,00:00:22,1,"100,00%","33,33%"
/guest-post/firefox-os-2-5-novita-e-data-di-uscita/,3,3,00:00:09,1,"100,00%","66,67%"
/guest-post/page/3/,3,2,00:00:18,0,"0,00%","66,67%"
/io-cero-it/,3,3,00:00:06,2,"100,00%","66,67%"
/ita,3,2,00:01:09,2,"50,00%","33,33%"
/posts/page/3/,3,3,00:00:10,0,"0,00%","33,33%"
/risorse/,3,3,00:00:28,1,"100,00%","33,33%"
/search/pyqt,3,2,00:00:16,0,"0,00%","0,00%"
/2012/01/dolphin-daemon-is-inhibited/,2,2,00:00:00,2,"100,00%","100,00%"
/2012/03/starkers-un-tema-basilare-per-wordpress/,2,2,00:00:00,2,"100,00%","100,00%"
/2012/11/come-convincere-il-tuo-amico-a-passare-a-gnulinux/,2,2,00:00:00,2,"100,00%","100,00%"
/2014/03/firefox-os-boomark-wordpress-site-powered-fox/,2,2,00:00:12,1,"0,00%","0,00%"
/2014/03/perche-usare-owncloud-2-anni-dopo/?lang=eo,2,1,00:00:04,0,"0,00%","0,00%"
/2014/04/progetti-accettati-dal-gsoc-2014-per-mozilla-kde-libreoffice/,2,1,00:00:00,1,"0,00%","50,00%"
/2014/05/firefox-drm-and-w3c-eme-complicated-technical-matter/,2,2,00:00:00,2,"100,00%","100,00%"
/2014/06/setup-per-mio-computer/,2,2,00:00:00,2,"100,00%","100,00%"
/2014/08/javascript-gamepad-api-it-does-exist/,2,2,00:00:00,2,"100,00%","100,00%"
/2014/09/eng-ita-opensourcedevelopment-weekly-link-report-5/,2,2,00:01:43,1,"0,00%","50,00%"
/2014/10/parliamo-firefox-for-android/,2,2,00:00:00,1,"100,00%","100,00%"
/2014/11/my-workflow-as-developer/,2,1,00:00:12,1,"0,00%","50,00%"
/2014/12/open-source-day-2014-ad-udine-io-cero/,2,2,00:00:02,2,"50,00%","50,00%"
/2015/03/pointerplus-or-wordpress-pointer-simplified/,2,2,00:00:00,2,"66,67%","100,00%"
/2015/05/mozilla-e-firefox-os-a-rimini-io-cero/,2,2,00:00:00,2,"100,00%","100,00%"
/2015/08/matchstick-is-dead-what-can-we-learn/,2,2,00:00:00,2,"100,00%","100,00%"
/2016/03/edit-debian-packages-depends-easily/,2,2,00:00:00,2,"50,00%","100,00%"
/2016/04/git-clone-auto-download-composer-npm-pip-vagrant-bower/,2,2,00:00:00,2,"100,00%","100,00%"
/2016/05/oscal-2016-was-there/,2,2,00:00:00,2,"50,00%","100,00%"
/2016/06/mozilla-all-hands-london-was-there/,2,2,00:00:00,2,"100,00%","100,00%"
/2016/08/recruit-and-motivate-new-volunteers/,2,2,00:00:00,2,"100,00%","100,00%"
/2016/09/hacktoberfest-join-code-contribution-github/,2,2,00:00:00,2,"100,00%","100,00%"
/2016/11/telegram-cambiato-la-mia-vita/embed/,2,2,00:00:00,2,"100,00%","100,00%"
/2016/12/2016-un-anno-autore/,2,2,00:01:41,1,"100,00%","50,00%"
/2017/09/end-summer-camp-2017-io-cero/,2,2,00:00:00,2,"100,00%","100,00%"
/andmore-it/,2,1,00:00:02,0,"0,00%","0,00%"
/articoli/page/7/,2,2,00:00:12,0,"0,00%","0,00%"
/articoli/page/8/,2,2,00:00:23,0,"0,00%","0,00%"
/category/javascript-it/,2,2,00:00:00,1,"100,00%","100,00%"
/category/was-there/,2,2,00:00:14,1,"100,00%","50,00%"
/category/wordpress-it/,2,2,00:00:09,1,"100,00%","50,00%"
/coaching/,2,2,00:00:00,2,"100,00%","100,00%"
/en/2014/06/new-site-with-source-code/,2,2,00:00:22,1,"100,00%","50,00%"
/en/2014/09/eng-ita-opensourcedevelopment-weekly-link-report-5/,2,1,00:01:00,0,"0,00%","0,00%"
/en/2014/09/firefox-os-workshop-bologna-i-was-there/,2,2,00:00:00,2,"100,00%","100,00%"
/en/2015/04/milanojs-meetup-april-and-password-opensource-2015-at-laquila/,2,2,00:00:00,2,"100,00%","100,00%"
/en/2016/05/take-back-the-web-benevento-was-there/,2,2,00:00:00,2,"100,00%","100,00%"
/en/2016/05/take-back-the-web-campaign-italy-1-week/,2,2,00:00:40,2,"50,00%","50,00%"
/en/2016/12/use-specific-ssh-key-with-domain/,2,2,00:00:15,1,"100,00%","50,00%"
/en/development/,2,2,00:00:16,1,"0,00%","50,00%"
/en/guest-post/page/2/,2,1,00:00:03,0,"0,00%","50,00%"
/en/i-was-there/,2,2,00:00:13,1,"0,00%","0,00%"
/en/javascript/,2,2,00:00:22,0,"0,00%","0,00%"
/en/participation/,2,2,00:00:44,0,"0,00%","0,00%"
/guest_post/,2,1,00:01:02,0,"0,00%","0,00%"
/guest-post/changecopyright-la-campagna-mozilla-riformare-la-legge-europea/,2,1,00:00:06,1,"0,00%","50,00%"
/guest-post/mp3_sc-1-0bsemplice-convertitore-bash-per-tuoi-mp3/,2,1,00:00:13,1,"0,00%","50,00%"
/guest-post/perche-non-devi-usare-w3schools/,2,2,00:00:00,2,"100,00%","100,00%"
/interviste/,2,2,00:00:32,1,"100,00%","50,00%"
/linux/,2,1,00:00:11,0,"0,00%","50,00%"
/posts/page/4/,2,2,00:00:22,0,"0,00%","0,00%"
/pyqt-it/,2,2,00:00:05,0,"0,00%","0,00%"
/risorse/page/3/,2,1,00:00:14,0,"0,00%","0,00%"
/2010/04/flatz-cms-in-costruzione/,1,1,00:00:00,0,"0,00%","100,00%"
/2011/09/kde-debian-1-potenziamo-kde-da-repo/,1,1,00:00:00,1,"100,00%","100,00%"
/2011/10/libreoffice-e-le-stampanti-su-debian/,1,1,00:00:00,1,"100,00%","100,00%"
/2012/03/localepurge-guadagniamo-spazio-nel-sistema/,1,1,00:00:00,1,"100,00%","100,00%"
/2012/09/pystromo-on-debian/,1,1,00:00:00,1,"100,00%","100,00%"
/2012/09/servizi-web-e-privacy/,1,1,00:01:30,0,"0,00%","0,00%"
/2012/09/servizi-web-e-privacy/?replytocom=10,1,1,00:00:39,0,"0,00%","0,00%"
/2012/10/ubuntu-e-gnulinux-che-bel-rapporto/,1,1,00:00:00,1,"100,00%","100,00%"
/2012/11/smetto-bloggerscontest/,1,1,00:00:00,1,"100,00%","100,00%"
/2013/01/firefoxosappdays-a-roma-io-cero/,1,1,00:00:00,1,"100,00%","100,00%"
/2013/02/plessc-gui-for-less-compiler/,1,1,00:00:00,1,"0,00%","100,00%"
/2013/03/codemotion-2013-io-cero/,1,1,00:00:00,1,"100,00%","100,00%"
/2013/06/custom-post-type-secondo-le-categorie/,1,1,00:00:00,1,"100,00%","100,00%"
/2014/03/perche-usare-owncloud-2-anni-dopo/owncliud,1,1,00:00:00,1,"100,00%","100,00%"
/2014/05/parliamo-firefox-29/,1,1,00:15:58,1,"0,00%","0,00%"
/2014/05/when-the-tp-link-suffers-from-xss-on-the-site-and-your-powerline-does-not-work/,1,1,00:00:40,1,"0,00%","0,00%"
/2014/08/eng-ita-opensourcedevelopment-weekly-link-report-1/,1,1,00:00:00,1,"100,00%","100,00%"
/2014/11/linux-day-2014-cero/,1,1,00:00:00,1,"100,00%","100,00%"
/2015/02/webinar-gratuito-firefox-developer-tool/,1,1,00:00:00,1,"100,00%","100,00%"
/2015/03/cosa-vi-aspetta-al-codemotion-roma-2015/,1,1,00:00:27,0,"0,00%","0,00%"
/2015/05/debian-ubuntu-community-conference-milan-2015-i-was-there/,1,1,00:00:00,1,"100,00%","100,00%"
/2015/05/the-firefox-os-1-x2-x-problems/,1,1,00:00:00,1,"100,00%","100,00%"
/2015/09/firefox-osarduino-workshop-fabriano-i-was-there/,1,1,00:00:00,1,"100,00%","100,00%"
/2015/09/firefox-osarduino-workshop-fabriano-io-cero/,1,1,00:00:00,1,"100,00%","100,00%"
/2015/10/linux-day-2015-benevento-i-was-there/,1,1,00:00:00,1,"100,00%","100,00%"
/2015/12/what-open-source-software-using-mozilla/,1,1,00:00:00,1,"100,00%","100,00%"
/2016/02/fosdem-2016-io-cero/,1,1,00:00:00,1,"100,00%","100,00%"
/2016/03/industria-italiana-del-software-libero-la-nascita,1,1,00:00:00,1,"100,00%","100,00%"
/2016/03/le-mie-estensioni-su-firefox-e-thunderbird-2016/null,1,1,00:00:00,0,"0,00%","100,00%"
/2016/03/wordpress-plugin-boilerplate-powered-1-2-0/,1,1,00:00:00,1,"100,00%","100,00%"
/2016/04/wordcamp-torino-2016-i-was-there/,1,1,00:00:00,1,"100,00%","100,00%"
/2016/05/take-back-the-web-benevento-was-there/,1,1,00:00:00,1,"0,00%","100,00%"
/2016/09/clsxitaly-roma-2016-was-there/,1,1,00:00:00,1,"100,00%","100,00%"
/2017/02/fosdem-2017-io-cero,1,1,00:00:00,1,"100,00%","100,00%"
/2017/03/le-mie-estensioni-su-firefox-e-thunderbird-2017,1,1,00:00:00,1,"100,00%","100,00%"
/2017/05/oscal-2017-cero/,1,1,00:00:00,1,"100,00%","100,00%"
/2017/07/4-useful-composer-plugins-for-your-workflow/,1,1,00:00:00,1,"100,00%","100,00%"
/2018/01/wordpress-boilerplate-plugin-2-2-0-is-there/,1,1,00:00:00,1,"100,00%","100,00%"
/articoli/?author=1,1,1,00:00:22,0,"0,00%","0,00%"
/articoli/?author=2,1,1,00:00:27,0,"0,00%","0,00%"
/articoli/?author=3,1,1,00:00:46,0,"0,00%","0,00%"
/articoli/?lang=eo,1,1,00:00:00,0,"0,00%","100,00%"
/articoli/page/10/,1,1,00:00:21,0,"0,00%","0,00%"
/articoli/page/5/?lang=it/,1,1,00:00:06,0,"0,00%","0,00%"
/articoli/page/9/,1,1,00:00:14,0,"0,00%","0,00%"
/bash-it/,1,1,00:00:09,0,"0,00%","0,00%"
/bash/,1,1,00:00:06,0,"0,00%","0,00%"
/category/iisl-en/,1,1,00:00:00,1,"100,00%","100,00%"
/category/iisl/,1,1,00:00:00,1,"100,00%","100,00%"
/category/io-cero-it/,1,1,00:00:00,1,"100,00%","100,00%"
/category/linux-it/,1,1,00:00:00,0,"0,00%","100,00%"
/category/mozilla-it/,1,1,00:00:00,1,"100,00%","100,00%"
/category/news/,1,1,00:00:00,1,"100,00%","100,00%"
/category/participation-it/,1,1,00:00:00,1,"100,00%","100,00%"
/category/participation/,1,1,00:00:00,1,"100,00%","100,00%"
/category/patreon-en/,1,1,00:00:06,0,"0,00%","0,00%"
/category/php-it/,1,1,00:08:23,1,"0,00%","0,00%"
/category/resources/,1,1,00:00:00,1,"100,00%","100,00%"
/category/risorse/,1,1,00:00:04,0,"0,00%","0,00%"
/category/wordpress/,1,1,00:00:00,1,"100,00%","100,00%"
/chimerarevo-it/,1,1,00:00:00,1,"100,00%","100,00%"
/chimerarevo/,1,1,00:00:00,1,"100,00%","100,00%"
/debian-it/,1,1,00:00:09,0,"0,00%","0,00%"
/en/2010/04/flatz-cms-in-costruzione/,1,1,00:00:16,0,"0,00%","0,00%"
/en/2012/08/kde-scantoemail/,1,1,00:00:10,0,"0,00%","0,00%"
/en/2013/04/jquery-click-support-on-mobile/,1,1,00:00:00,1,"100,00%","100,00%"
/en/2014/01/firefox-os-app-days-rome-i-was-there/,1,1,00:00:00,1,"100,00%","100,00%"
/en/2014/02/mobile-embedded-firenze-i-was-there/,1,1,00:00:00,0,"0,00%","100,00%"
/en/2014/04/firefox-os-in-milan/,1,1,00:00:00,1,"0,00%","100,00%"
/en/2014/05/adrotate-extra-settings-for-wordpress/,1,1,00:00:00,1,"0,00%","100,00%"
/en/2014/10/september-mozilla-marketplace-contributor-of-the-month-daniele-scasciafratte/,1,1,00:00:00,0,"0,00%","100,00%"
/en/2014/11/my-workflow-as-developer/,1,1,00:03:08,0,"0,00%","0,00%"
